rank,team_id,own_goals,goals_conceded,forced_turnover,ball_recovery_time,defensive_pressures_applied,defensive_pressures_directly_applied
1,36,2,10,101,60.48,832,122
1,17,2,7,224,82.81,1360,238
3,48,1,11,135,50,944,142
3,23,1,12,122,61.26,851,155
3,43,1,6,285,84.65,1581,281
3,26,1,8,139,68.21,1148,166
3,8,1,5,191,76.43,1252,166
3,37,1,5,128,53.18,1035,140
3,34,1,6,249,88.79,1689,331
3,29,1,6,262,82.47,1436,301
3,44,1,12,109,69.13,802,131
3,3,1,3,174,74.09,1229,162
13,9,0,6,228,66.43,1183,228
13,35,0,3,188,81.25,1282,161
13,24,0,3,132,47.85,874,148
13,18,0,8,242,106.36,1708,294
13,13,0,7,149,70.2,1011,174
13,46,0,8,220,65.83,1076,216
13,2,0,7,297,106.41,1609,292
13,25,0,5,139,80.59,1118,191
13,42,0,10,150,72.94,859,150
13,47,0,4,133,40.21,745,130
13,1,0,9,181,60.22,1015,152
13,6,0,8,168,53.83,998,157
13,12,0,4,176,70.71,1123,188
13,30,0,5,165,65.67,939,143
13,14,0,9,121,56.6,983,160
13,4,0,9,150,83.93,1220,209
13,40,0,4,158,73.07,1081,166
13,15,0,6,119,56.67,857,121
13,39,0,9,165,68.01,1055,170
13,38,0,4,107,70.31,775,109
13,33,0,4,147,46.44,753,175
13,7,0,4,186,96.34,1338,214
13,5,0,7,263,91.79,1582,227
13,10,0,1,194,71.88,1088,191
13,41,0,1,343,80.66,1641,253
13,19,0,4,300,101.87,1637,268
13,20,0,5,189,49.48,915,187
13,27,0,3,106,44.64,563,86
13,31,0,10,118,47.94,844,140
13,32,0,11,193,99.36,1419,231
13,22,0,8,113,49.18,810,143
13,28,0,3,178,73.86,1065,177
13,21,0,3,156,89.73,1160,183
13,45,0,5,121,29.94,490,123
13,16,0,4,176,53.67,925,205
13,11,0,5,172,85.2,1234,179
